date,Alpha $ PnL,Net Futures Exposure
5/22/2012,10023.25,3.5
5/23/2012,11980,5.5
5/24/2012,11930.25,3.5
5/25/2012,11706,5.5
5/26/2012,11706,3.5
5/27/2012,11706,3.5
5/28/2012,11706,5.5
5/29/2012,14412.5,3.5
5/30/2012,13075.25,5.5
5/31/2012,13156.75,5.5
6/1/2012,3244.75,3.5
6/2/2012,3244.75,5.5
6/3/2012,3244.75,3.5
6/4/2012,2682.75,3.5
6/5/2012,2951.75,5.5
6/6/2012,2945.75,5.5
6/7/2012,13739.5,5.5
6/8/2012,15996.25,5.5
6/9/2012,15996.25,3.5
6/10/2012,15996.25,5.5
6/11/2012,15253,5.5
6/12/2012,17722,5.5
6/13/2012,15764,7.5
6/14/2012,18864.25,3.5
6/15/2012,21814.5,5.5
6/16/2012,21814.5,5.5
6/17/2012,21814.5,5.5
6/18/2012,22421,7.5
6/19/2012,26333.75,5.5
6/20/2012,25590,7.5
6/21/2012,20815.25,5.5
6/22/2012,23353,3.5
6/23/2012,23353,7.5
6/24/2012,23353,3.5
6/25/2012,19715.75,3.5
6/26/2012,21697.5,5.5
6/27/2012,24585,3.5
6/28/2012,23066.5,5.5
6/29/2012,34966.75,3.5
6/30/2012,34966.75,5.5
7/1/2012,34966.75,5.5
7/2/2012,36192.25,3.5
7/3/2012,39079.75,5.5
7/4/2012,39079.75,7.5
7/5/2012,37836.25,5.5
7/6/2012,35424,5.5
7/7/2012,35424,3.5
7/8/2012,35424,5.5
7/9/2012,34386.75,7.5
7/10/2012,32149.5,5.5
7/11/2012,33037.25,7.5
7/12/2012,32093.75,5.5
7/13/2012,37037.75,3.5
7/14/2012,37037.75,7.5
7/15/2012,37037.75,3.5
7/16/2012,35069,5.5
7/17/2012,38900.75,5.5
7/18/2012,40732.25,3.5
7/19/2012,42170,7.5
7/20/2012,39757.75,5.5
7/21/2012,39757.75,5.5
7/22/2012,39757.75,7.5
7/23/2012,36457.75,5.5
7/24/2012,31908.25,5.5
7/25/2012,32177.25,5.5
7/26/2012,42015,3.5
7/27/2012,49227.75,5.5
7/28/2012,49227.75,5.5
7/29/2012,49227.75,5.5
7/30/2012,48515.75,7.5
7/31/2012,47847.5,3.5
8/1/2012,47579,5.5
8/2/2012,43448,3.5
8/3/2012,48123.25,3.5
8/4/2012,48123.25,5.5
8/5/2012,48123.25,3.5
8/6/2012,48617.5,5.5
8/7/2012,50192.75,5.5
8/8/2012,50105.25,5.5
8/9/2012,50274.25,5.5
8/10/2012,50818.25,3.5
8/11/2012,50818.25,5.5
8/12/2012,50818.25,3.5
8/13/2012,50681,5.5
8/14/2012,50331.25,3.5
8/15/2012,51075,3.5
8/16/2012,52862.75,5.5
8/17/2012,52925.5,3.5
8/18/2012,52925.5,7.5
8/19/2012,52925.5,7.5
8/20/2012,53007,5.5
8/21/2012,51838.25,7.5
8/22/2012,51901,3.5
8/23/2012,50232.5,5.5
8/24/2012,53045.25,7.5
8/25/2012,53045.25,3.5
8/26/2012,53045.25,5.5
8/27/2012,52470.5,7.5
8/28/2012,52670.75,5.5
8/29/2012,53133.5,7.5
8/30/2012,50308.75,5.5
8/31/2012,51902.5,7.5
9/1/2012,51902.5,7.5
9/2/2012,51902.5,5.5
9/3/2012,51902.5,7.5
9/4/2012,51603.25,3.5
9/5/2012,51516.25,3.5
9/6/2012,58992,5.5
9/7/2012,60042,3.5
9/8/2012,60042,5.5
9/9/2012,60042,7.5
9/10/2012,58854.75,3.5
9/11/2012,59880,5.5
9/12/2012,60224,3.5
9/13/2012,67436.75,3.5
9/14/2012,67655.5,7.5
9/15/2012,67655.5,5.5
9/16/2012,67655.5,7.5
9/17/2012,67343.25,5.5
9/18/2012,66649.75,3.5
9/19/2012,67529.5,5.5
9/20/2012,66292,3.5
9/21/2012,66836,7.5
9/22/2012,66836,7.5
9/23/2012,66836,5.5
9/24/2012,66348.75,5.5
9/25/2012,62418,3.5
9/26/2012,59736.75,3.5
9/27/2012,63580.75,7.5
9/28/2012,61137.25,5.5
9/29/2012,61137.25,7.5
9/30/2012,61137.25,5.5
10/1/2012,61818.75,3.5
10/2/2012,62193.75,5.5
10/3/2012,64619.25,5.5
10/4/2012,66363.25,5.5
10/5/2012,65807.25,7.5
10/6/2012,65807.25,3.5
10/7/2012,65807.25,5.5
10/8/2012,65807.25,5.5
10/9/2012,63132.5,5.5
10/10/2012,60239,7.5
10/11/2012,60889.25,5.5
10/12/2012,59508.25,3.5
10/13/2012,59508.25,5.5
10/14/2012,59508.25,3.5
10/15/2012,63439.75,5.5
10/16/2012,67496,3.5
10/17/2012,69477.75,3.5
10/18/2012,68853,5.5
10/19/2012,64647,3.5
10/20/2012,64647,7.5
10/21/2012,64647,7.5
10/22/2012,62716,5.5
10/23/2012,57178.75,7.5
10/24/2012,55522.75,5.5
10/25/2012,57016.75,5.5
10/26/2012,57291.75,5.5
10/27/2012,57291.75,3.5
10/28/2012,57291.75,7.5
10/29/2012,55973.5,5.5
10/30/2012,58305,5.5
10/31/2012,57593,3.5
11/1/2012,62930.75,1.5
11/2/2012,50812.75,3.5
11/3/2012,50812.75,5.5
11/4/2012,50812.75,1.5
11/5/2012,57363.25,3.5
11/6/2012,60351.25,3.5
11/7/2012,55701.75,3.5
11/8/2012,48858,3.5
11/9/2012,37508.25,1.5
11/10/2012,37508.25,3.5
11/11/2012,37508.25,3.5
11/12/2012,37508.25,1.5
11/13/2012,44171,5.5
11/14/2012,37133.75,3.5
11/15/2012,28877.75,5.5
11/16/2012,41815.25,7.5
11/17/2012,41815.25,5.5
11/18/2012,41815.25,5.5
11/19/2012,50434.25,3.5
11/20/2012,50972.25,3.5
11/21/2012,52410,5.5
11/22/2012,52410,3.5
11/23/2012,55385,3.5
11/24/2012,55385,5.5
11/25/2012,55385,3.5
11/26/2012,54810.25,5.5
11/27/2012,53498,1.5
11/28/2012,55285.75,1.5
11/29/2012,57411,3.5
11/30/2012,57017.25,1.5
12/1/2012,57017.25,3.5
12/2/2012,57017.25,3.5
12/3/2012,56530,3.5
12/4/2012,55561.5,3.5
12/5/2012,56036.75,1.5
12/6/2012,56655.5,5.5
12/7/2012,58024.5,3.5
12/8/2012,58024.5,3.5
12/9/2012,58024.5,3.5
12/10/2012,58499.75,1.5
12/11/2012,60625,5.5
12/12/2012,60581.25,5.5
12/13/2012,59694.25,1.5
12/14/2012,56782,1.5
12/15/2012,56782,3.5
12/16/2012,56782,1.5
12/17/2012,60413.75,5.5
12/18/2012,64882.5,3.5
12/19/2012,63937.75,3.5
12/20/2012,64019.25,5.5
12/21/2012,60507,1.5
12/22/2012,60507,3.5
12/23/2012,60507,3.5
12/24/2012,59751.25,3.5
12/25/2012,59751.25,5.5
12/26/2012,58157.5,7.5
12/27/2012,57870.25,5.5
12/28/2012,53395.5,5.5
12/29/2012,53395.5,5.5
12/30/2012,53395.5,3.5
12/31/2012,60139.5,5.5
1/1/2013,60139.5,5.5
1/2/2013,69621,3.5
1/3/2013,69921.25,7.5
1/4/2013,72184,5.5
1/5/2013,72184,5.5
1/6/2013,72184,3.5
1/7/2013,71303,5.5
1/8/2013,69721.75,5.5
1/9/2013,70953.25,5.5
1/10/2013,73047.25,5.5
1/11/2013,73178.75,3.5
1/12/2013,73178.75,3.5
1/13/2013,73178.75,5.5
1/14/2013,72741.25,3.5
1/15/2013,73172.75,5.5
1/16/2013,73235.5,5.5
1/17/2013,75110.75,3.5
1/18/2013,75311,5.5
1/19/2013,75311,5.5
1/20/2013,75311,3.5
1/21/2013,75311,5.5
1/22/2013,76492.25,5.5
1/23/2013,77142.5,7.5
1/24/2013,77892.75,3.5
1/25/2013,78368,3.5
1/26/2013,78368,7.5
1/27/2013,78368,3.5
1/28/2013,78918,5.5
1/29/2013,80905.75,7.5
1/30/2013,79674.75,5.5
1/31/2013,78981.25,5.5
2/1/2013,81518.75,5.5
2/2/2013,81518.75,5.5
2/3/2013,81518.75,5.5
2/4/2013,78581.5,3.5
2/5/2013,82969.5,7.5
2/6/2013,82407.5,7.5
2/7/2013,81788.75,5.5
2/8/2013,84051.5,7.5
2/9/2013,84051.5,5.5
2/10/2013,84051.5,7.5
2/11/2013,84308,5.5
2/12/2013,84639.75,7.5
2/13/2013,84627.75,7.5
2/14/2013,85515.5,3.5
2/15/2013,84753.5,5.5
2/16/2013,84753.5,3.5
2/17/2013,84753.5,3.5
2/18/2013,84753.5,7.5
2/19/2013,86585,3.5
2/20/2013,82448,7.5
2/21/2013,79766.75,5.5
2/22/2013,82442,5.5
2/23/2013,82442,7.5
2/24/2013,82442,5.5
2/25/2013,76061,7.5
2/26/2013,76605,7.5
2/27/2013,84286.5,5.5
2/28/2013,84624.25,7.5
3/1/2013,84131,5.5
3/2/2013,84131,3.5
3/3/2013,84131,5.5
3/4/2013,86462.75,3.5
3/5/2013,89525.25,5.5
3/6/2013,89475.5,7.5
3/7/2013,90569.5,5.5
3/8/2013,91919.75,5.5
3/9/2013,91919.75,7.5
3/10/2013,91919.75,5.5
3/11/2013,92670,5.5
3/12/2013,92270.25,3.5
3/13/2013,92900.75,3.5
3/14/2013,95232.25,7.5
3/15/2013,94701.25,3.5
3/16/2013,94701.25,7.5
3/17/2013,94701.25,3.5
3/18/2013,92151.5,7.5
3/19/2013,90364.25,7.5
3/20/2013,94477.25,3.5
3/21/2013,90552.5,7.5
3/22/2013,91815.25,3.5
3/23/2013,91815.25,3.5
3/24/2013,91815.25,5.5
3/25/2013,90434.25,3.5
3/26/2013,96053.25,7.5
3/27/2013,95841,5.5
3/28/2013,88241.25,5.5
3/29/2013,95591.5,7.5
3/30/2013,95591.5,5.5
3/31/2013,95591.5,7.5
4/1/2013,94092,7.5
4/2/2013,95767.5,5.5
4/3/2013,93749,5.5
4/4/2013,95124,3.5
4/5/2013,93261.75,3.5
4/6/2013,93261.75,5.5
4/7/2013,93261.75,3.5
4/8/2013,94868.5,5.5
4/9/2013,98050,5.5
4/10/2013,103412.5,3.5
4/11/2013,104644,5.5
4/12/2013,102669.25,3.5
4/13/2013,102669.25,5.5
4/14/2013,102669.25,5.5
4/15/2013,94063.5,5.5
4/16/2013,98669.75,7.5
4/17/2013,92682.5,5.5
4/18/2013,90926.5,3.5
4/19/2013,94627,5.5
4/20/2013,94627,3.5
4/21/2013,94627,5.5
4/22/2013,96758.25,7.5
4/23/2013,100739.75,5.5
4/24/2013,101477.75,7.5
4/25/2013,102740.5,3.5
4/26/2013,102253.25,5.5
4/27/2013,102253.25,7.5
4/28/2013,102253.25,3.5
4/29/2013,104003.25,5.5
4/30/2013,104259.75,3.5
5/1/2013,100335,3.5
5/2/2013,103041.5,5.5
5/3/2013,108266.5,3.5
5/4/2013,108266.5,5.5
5/5/2013,108266.5,5.5
5/6/2013,108954,3.5
5/7/2013,110947.75,5.5
5/8/2013,112798,3.5
5/9/2013,111829.5,5.5
5/10/2013,113267.25,5.5
5/11/2013,113267.25,3.5
5/12/2013,113267.25,5.5
5/13/2013,113742.5,5.5
5/14/2013,118411.5,5.5
5/15/2013,119855.25,7.5
5/16/2013,118536.75,3.5
5/17/2013,123068.25,5.5
5/18/2013,123068.25,5.5
5/19/2013,123068.25,3.5
5/20/2013,122837.5,5.5
5/21/2013,124150,3.5
5/22/2013,117956.5,3.5
5/23/2013,117263,7.5
5/24/2013,115469.75,5.5
5/25/2013,115469.75,5.5
5/26/2013,115469.75,3.5
5/27/2013,115469.75,3.5
5/28/2013,118351.25,5.5
5/29/2013,115045.25,3.5
5/30/2013,118220.75,5.5
5/31/2013,115196,5.5
6/1/2013,115196,5.5
6/2/2013,115196,7.5
6/3/2013,114433.75,5.5
6/4/2013,113490.25,3.5
6/5/2013,107021.75,7.5
6/6/2013,109828.25,5.5
6/7/2013,115803.5,5.5
6/8/2013,115803.5,5.5
6/9/2013,115803.5,3.5
6/10/2013,116834.75,5.5
6/11/2013,110360,3.5
6/12/2013,107122.75,5.5
6/13/2013,116017,5.5
6/14/2013,113960.75,5.5
6/15/2013,113960.75,7.5
6/16/2013,113960.75,5.5
6/17/2013,116142.25,5.5
6/18/2013,119848.75,5.5
6/19/2013,116703.5,7.5
6/20/2013,116697.5,5.5
6/21/2013,116685.5,7.5
6/22/2013,116685.5,3.5
6/23/2013,116685.5,5.5
6/24/2013,116679.5,3.5
6/25/2013,116673.5,3.5
6/26/2013,116673.5,5.5
6/27/2013,116661.5,5.5
6/28/2013,116655.5,7.5
6/29/2013,116655.5,7.5
6/30/2013,116655.5,5.5
7/1/2013,116649.5,5.5
7/2/2013,116643.5,5.5
7/3/2013,116637.5,7.5
7/4/2013,116637.5,7.5
7/5/2013,116631.5,3.5
7/6/2013,116631.5,7.5
7/7/2013,116631.5,5.5
7/8/2013,116625.5,3.5
7/9/2013,116613.5,5.5
7/10/2013,116613.5,5.5
7/11/2013,116607.5,7.5
7/12/2013,116595.5,5.5
7/13/2013,116595.5,3.5
7/14/2013,116595.5,7.5
7/15/2013,116589.5,3.5
7/16/2013,116589.5,5.5
7/17/2013,116577.5,7.5
7/18/2013,116571.5,3.5
7/19/2013,116565.5,5.5
7/20/2013,116565.5,3.5
7/21/2013,116565.5,3.5
7/22/2013,116559.5,7.5
7/23/2013,116553.5,3.5
7/24/2013,116547.5,7.5
7/25/2013,116535.5,7.5
7/26/2013,116535.5,5.5
7/27/2013,116535.5,7.5
7/28/2013,116535.5,5.5
7/29/2013,116529.5,5.5
7/30/2013,116517.5,7.5
7/31/2013,116511.5,5.5
8/1/2013,116511.5,7.5
8/2/2013,116499.5,5.5
8/3/2013,116499.5,5.5
8/4/2013,116499.5,7.5
8/5/2013,116493.5,5.5
8/6/2013,116487.5,7.5
8/7/2013,131606.5,7.5
8/8/2013,132650.5,3.5
8/9/2013,130857,5.5
8/10/2013,130857,3.5
8/11/2013,130857,3.5
8/12/2013,130501,5.5
8/13/2013,131870,3.5
8/14/2013,130513.75,5.5
8/15/2013,126307.75,3.5
8/16/2013,125339.25,3.5
8/17/2013,125339.25,7.5
8/18/2013,125339.25,3.5
8/19/2013,123402.25,5.5
8/20/2013,126402.25,7.5
8/21/2013,123021.25,3.5
8/22/2013,126315.25,5.5
8/23/2013,128184.25,3.5
8/24/2013,128184.25,3.5
8/25/2013,128184.25,5.5
8/26/2013,127290.5,3.5
8/27/2013,119166,5.5
8/28/2013,121222.5,5.5
8/29/2013,121341.75,3.5
8/30/2013,118054.5,5.5
8/31/2013,118054.5,5.5
9/1/2013,118054.5,5.5
9/2/2013,118054.5,5.5
9/3/2013,120861.25,3.5
9/4/2013,124418.25,5.5
9/5/2013,124806,5.5
9/6/2013,125043.75,5.5
9/7/2013,125043.75,7.5
9/8/2013,125043.75,5.5
9/9/2013,127312.75,7.5
9/10/2013,130463.25,7.5
9/11/2013,130757.25,3.5
9/12/2013,130395.25,5.5
9/13/2013,131007.75,3.5
9/14/2013,131007.75,3.5
9/15/2013,131007.75,5.5
9/16/2013,132614.5,3.5
9/17/2013,134096,5.5
9/18/2013,135644,3.5
9/19/2013,135294,3.5
9/20/2013,133056.75,7.5
9/21/2013,133056.75,5.5
9/22/2013,133056.75,7.5
9/23/2013,132482.25,5.5
9/24/2013,131513.75,5.5
9/25/2013,130589,7.5
9/26/2013,131064.25,3.5
9/27/2013,129277,3.5
9/28/2013,129277,5.5
9/29/2013,129277,3.5
9/30/2013,126377.5,5.5
10/1/2013,128984,7.5
10/2/2013,129115.25,5.5
